prolific_id,pilot_paradigm,counterbalancing,query_stimulus,ref_left_stimulus,ref_right_stimulus,ref_left_y_offset,ref_right_y_offset,rt,response,trial_stage,trial_index,time_elapsed,session,correct,correct_response,query_item,ref_left,ref_right,dist_query_ref_left,dist_query_ref_right,dist_ref_left_ref_right,abs_dist_query_ref_left,abs_dist_query_ref_right,abs_dist_ref_left_ref_right,triplet_left_right_name,ref_lowdim,ref_highdim,dist_query_ref_lowdim,dist_query_ref_highdim,dist_ref_lowdim_ref_highdim,dist_abs_query_ref_lowdim,dist_abs_query_ref_highdim,dist_abs_ref_lowdim_ref_highdim,triplet_unique_name,template_distances,template_abs_distances,triplet_rep,template_distances_rep,template_abs_distances_rep,triplet_easiness,query_position,curve_type,chosen_ref_value,chosen_ref_lowdim_highdim,chose_towards_sparse,chose_towards_highdim,chosen_ref_numeric,correct_ref_lowdim_highdim,correct_ref_left_right,correct_numeric,triplet_location,density_relative_triplet_name,correct_ref_towards_dense_sparse
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1478.5,p,practice,1,2876,1,True,p,38,110,30,-72,8,80,72,8,80,38_110_30,30,110,8,-72,-80,8,72,80,38_30_110,8_-72_-80,8_72_80,1,1,1,64,query_middle,concave,30.0,ref_lowdim,0,0.0,1,ref_lowdim,ref_right,1.0,dense_region,110_38_118,ref_towards_dense
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,0,0,2332.099999964237,q,practice,2,5715,1,True,q,102,110,86,-8,16,24,8,16,24,102_110_86,86,110,16,-8,-24,16,8,24,102_86_110,16_-8_-24,8_16_24,1,1,1,8,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,46_38_62,ref_towards_sparse
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level85F1Level40.png,img/object-9_120-levels_1D/object9F0Level45F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1272.5,p,practice,3,8223,1,True,p,86,46,110,40,-24,-64,40,24,64,86_46_110,46,110,40,-24,-64,40,24,64,86_46_110,40_-24_-64,24_40_64,1,1,1,16,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,62_38_102,ref_towards_sparse
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level61F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,2420.0,q,practice,4,11145,1,False,p,62,102,30,-40,32,72,40,32,72,62_102_30,30,102,32,-40,-72,32,40,72,62_30_102,32_-40_-72,32_40_72,1,1,1,8,query_middle,concave,102.0,ref_highdim,1,1.0,2,ref_lowdim,ref_right,0.0,dense_region,86_46_118,ref_towards_dense
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,1188.0,q,practice,5,13650,1,True,q,102,110,38,-8,64,72,8,64,72,102_110_38,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,1,1,1,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,46_38_110,ref_towards_sparse
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level77F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,img/object-9_120-levels_1D/object9F0Level29F1Level40.png,0,0,1879.800000011921,q,practice,6,16156,1,True,q,78,118,30,-40,48,88,40,48,88,78_118_30,30,118,48,-40,-88,48,40,88,78_30_118,48_-40_-88,40_48_88,1,1,1,8,query_middle,convex,118.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,70_30_118,ref_towards_sparse
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,0,0,2381.699999988079,p,practice,7,19043,1,,,110,102,118,8,-8,-16,8,8,16,110_102_118,102,118,8,-8,-16,8,8,16,110_102_118,8_-8_-16,8_8_16,1,1,1,0,query_middle,convex,118.0,ref_highdim,1,1.0,2,nan,nan,,sparse_region,38_30_46,nan
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,0,0,1395.699999988079,q,practice,8,21553,1,True,q,102,118,38,-16,64,80,16,64,80,102_118_38,38,118,64,-16,-80,64,16,80,102_38_118,64_-16_-80,16_64_80,1,1,1,48,query_middle,convex,118.0,ref_highdim,1,1.0,2,ref_highdim,ref_left,1.0,sparse_region,46_30_110,ref_towards_sparse
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,img/object-9_120-levels_1D/object9F0Level117F1Level40.png,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,0,0,2041.0,q,practice,9,24099,1,,,110,118,102,-8,8,16,8,8,16,110_118_102,102,118,8,-8,-16,8,8,16,110_102_118,8_-8_-16,8_8_16,2,2,2,0,query_middle,convex,118.0,ref_highdim,1,1.0,2,nan,nan,,sparse_region,38_30_46,nan
sub_01,1,dense_left,img/object-9_120-levels_1D/object9F0Level101F1Level40.png,img/object-9_120-levels_1D/object9F0Level37F1Level40.png,img/object-9_120-levels_1D/object9F0Level109F1Level40.png,0,0,1336.699999988079,p,practice,10,26611,1,True,p,102,38,110,64,-8,-72,64,8,72,102_38_110,38,110,64,-8,-72,64,8,72,102_38_110,64_-8_-72,8_64_72,2,2,2,56,query_middle,convex,110.0,ref_highdim,1,1.0,2,ref_highdim,ref_right,1.0,sparse_region,46_38_110,ref_towards_sparse
